softmax_conf,scaled_conf,correct,label
0.6654106,0.5249202,1,1
0.99979657,0.77441984,0,1
1.0,0.9546666,1,1
0.9999999,0.90973717,1,1
0.9999889,0.8397406,0,1
0.9999989,0.8802994,0,1
1.0,0.9459048,1,1
0.9996947,0.7639552,1,1
0.9999999,0.9059437,1,0
0.99999666,0.86156315,1,0
0.99999857,0.8756851,1,0
1.0,0.94840115,1,1
1.0,0.92686033,1,1
1.0,0.9366486,1,1
1.0,0.92987555,1,1
1.0,0.92593277,1,1
1.0,0.9430518,1,1
1.0,0.9256211,1,1
0.9990601,0.73326236,1,0
0.99999034,0.84231734,1,0
1.0,0.9324906,1,1
0.9997851,0.77303046,1,0
0.9997546,0.7696313,0,0
1.0,0.9392868,1,1
1.0,0.9524582,1,1
0.9994967,0.75062203,1,0
0.8267118,0.55644214,1,0
0.99999964,0.8951925,1,0
0.99998844,0.8388231,1,1
1.0,0.94520444,1,1
1.0,0.943537,1,1
1.0,0.93954486,1,1
0.9999987,0.877768,1,0
0.9046505,0.5809071,1,1
0.9998845,0.7884537,1,0
1.0,0.9358366,1,1
1.0,0.9363791,1,1
1.0,0.93876743,1,1
1.0,0.93980193,1,1
0.9996259,0.7585986,1,0
0.99999833,0.8734466,1,0
0.9534488,0.60782176,1,0
1.0,0.9361083,1,1
0.99999976,0.8999854,1,0
1.0,0.9442574,0,0
1.0,0.93446165,1,1
1.0,0.94449556,1,1
0.99943846,0.7476392,0,1
0.99999774,0.86847806,1,0
1.0,0.93075746,1,1
1.0,0.93075746,1,0
1.0,0.93104917,0,0
0.99999976,0.90497315,1,0
1.0,0.9379808,1,1
0.9999949,0.85434574,1,0
0.9999995,0.8933705,1,1
1.0,0.9204691,1,1
1.0,0.9390276,1,1
1.0,0.9227621,1,0
1.0,0.93390393,1,1
0.96691406,0.620047,1,1
0.9999993,0.8855716,1,0
1.0,0.9191311,1,0
1.0,0.94636697,1,1
1.0,0.9283826,1,1
0.9999908,0.84329355,0,1
0.97838473,0.63488543,1,0
0.9999865,0.83588964,0,1
1.0,0.9271672,1,1
0.9996947,0.7639552,1,1
0.9999727,0.82124317,0,1
1.0,0.93017066,1,1
1.0,0.9319174,1,1
0.99983656,0.7799168,1,1
1.0,0.94256276,1,1
1.0,0.93418336,1,1
0.94966936,0.60498065,0,0
0.99992573,0.79894,1,0
1.0,0.9418218,1,1
1.0,0.94132286,1,1
1.0,0.9322045,1,1
0.9999999,0.91691303,1,1
0.99788433,0.70957816,0,1
1.0,0.93980193,1,1
0.9999994,0.8896426,1,0
0.99701905,0.6991922,0,0
1.0,0.93017066,1,1
1.0,0.96272266,1,1
0.9999683,0.8180592,1,1
0.9999931,0.8486662,1,0
1.0,0.93980193,1,1
0.9999994,0.8886369,1,0
0.9999945,0.8529293,0,1
1.0,0.94949955,1,1
1.0,0.9377165,1,1
1.0,0.9371847,1,1
1.0,0.93277544,1,1
1.0,0.9385063,1,1
1.0,0.93876743,1,1
0.98677725,0.65153396,1,1
0.9999999,0.9087079,0,0
0.9999962,0.85969347,1,0
1.0,0.9486226,1,1
0.99553156,0.6866498,0,1
0.99999404,0.85157317,1,0
0.9999801,0.8278641,1,0
0.9999993,0.885629,1,1
0.99999905,0.88137037,1,0
1.0,0.93876743,1,1
0.9999968,0.86250705,1,0
0.9999999,0.9165668,1,1
1.0,0.9292819,1,1
0.98549646,0.648439,0,1
0.9999988,0.8783748,1,0
1.0,0.9408199,1,1
0.99999654,0.8609875,1,0
0.9966234,0.69536346,1,1
0.99999595,0.8581135,1,0
1.0,0.9366486,1,1
0.83973396,0.5597972,0,0
0.9999999,0.91552067,0,0
1.0,0.94636697,1,1
1.0,0.9403129,1,1
0.99998415,0.8325384,1,0
1.0,0.9322045,1,1
1.0,0.9201366,1,1
1.0,0.9459048,1,1
1.0,0.93980193,1,1
0.9999999,0.9057503,1,1
1.0,0.94449556,1,1
1.0,0.9449691,1,1
1.0,0.9449691,1,1
0.99999976,0.9013041,1,1
1.0,0.9447327,1,1
0.9999926,0.8473695,0,1
1.0,0.9324906,1,1
1.0,0.94993263,1,1
0.81757444,0.55420256,1,0
0.9999968,0.86227155,0,1
1.0,0.9374511,1,1
1.0,0.9363791,1,1
1.0,0.93528986,1,1
1.0,0.94520444,1,1
0.99999475,0.85356814,1,0
0.99999976,0.900342,0,0
1.0,0.9440182,0,0
0.9999999,0.90823656,1,0
0.9999963,0.85989845,1,0
0.5,0.5,0,1
1.0,0.92593277,1,1
0.99999917,0.88313687,0,1
0.9999982,0.8719351,1,0
1.0,0.9227621,1,1
0.9284088,0.5919048,1,0
0.9999999,0.9072873,1,0
0.9995956,0.75651646,0,0
1.0,0.93418336,1,1
1.0,0.9428078,1,1
1.0,0.94132286,1,1
1.0,0.93501484,1,1
1.0,0.93876743,1,1
0.9999895,0.84080565,0,0
1.0,0.9379808,1,1
0.99999964,0.8956171,0,0
0.9999931,0.84868443,1,0
0.9999994,0.88841236,1,0
0.9999989,0.8795207,1,0
1.0,0.9408199,1,1
1.0,0.9304647,1,1
1.0,0.9377165,1,1
0.999997,0.8640125,1,0
1.0,0.92686033,1,1
0.9999478,0.80701005,1,0
0.91964257,0.5875161,0,0
1.0,0.94056696,1,1
0.9999964,0.86037576,0,0
1.0,0.92593277,1,0
0.99999976,0.9045825,1,0
1.0,0.9227621,1,1
0.9999962,0.8592828,0,1
1.0,0.92227584,1,1
0.9871788,0.65256274,0,1
1.0,0.9371847,1,1
0.9999995,0.893046,1,0
0.99999607,0.85880226,1,0
1.0,0.93876743,0,0
0.99999523,0.85554075,1,0
0.9999999,0.9070965,1,1
1.0,0.93980193,1,1
1.0,0.9363791,1,1
0.99999964,0.8979259,1,0
0.99983656,0.7799168,1,1
1.0,0.93731797,1,1
1.0,0.94132286,1,1
1.0,0.93162906,1,1
1.0,0.91963524,1,1
0.9999069,0.79360694,0,0
1.0,0.93277544,1,1
0.9914225,0.6658055,0,1
0.994615,0.68076617,0,0
0.95791227,0.61146396,0,0
0.9999871,0.83666575,0,1
0.9969246,0.6982376,1,0
1.0,0.93473876,1,1
1.0,0.9459048,1,1
0.99976224,0.7704343,0,1
0.9688562,0.6221813,0,0
1.0,0.9408199,1,1
0.8080672,0.55196077,0,1
1.0,0.93876743,1,1
0.99999976,0.90300536,0,1
1.0,0.9319174,1,1
1.0,0.9420698,1,1
0.99999917,0.8833707,1,0
0.99999833,0.87288153,1,0
0.99999976,0.90468025,1,1
0.692642,0.5294415,1,1
0.99995244,0.80912,1,0
1.0,0.94971645,1,1
1.0,0.9465967,1,1
0.8558512,0.5642621,1,1
0.9975274,0.7048835,1,1
1.0,0.92972755,1,1
0.9999993,0.8863162,1,1
1.0,0.9442574,1,1
1.0,0.92987555,1,1
0.99977654,0.7720344,0,0
1.0,0.9319174,1,1
1.0,0.9314845,0,0
0.99999857,0.87593174,1,0
0.9992206,0.7385501,0,0
0.9914225,0.6658055,1,0
1.0,0.93691725,1,1
0.99999905,0.88243294,1,0
1.0,0.94993263,1,1
1.0,0.9313397,1,1
1.0,0.9191311,0,0
1.0,0.9465967,1,1
0.99999714,0.8644116,1,0
0.98087597,0.63907975,1,0
0.9999999,0.9059437,1,0
0.9999938,0.85081935,0,1
1.0,0.95078826,1,1
0.99999976,0.8985477,1,0
1.0,0.94971645,1,1
1.0,0.92686033,1,1
1.0,0.9358366,1,1
0.9994642,0.7489204,1,1
0.9999584,0.8120788,1,0
0.9999682,0.817959,1,0
